Network,Content type,Content
facebook,Comment,God Bless The Mystard Seed: Alfred Schlegl From Calgary Alberta Canada 🇨🇦.
facebook,Comment,Give mental health care that's real....kick the UCP out!
facebook,Comment,Is it true the Mustard Seed gets a lot of money from the UCP government for providing its services?
facebook,Comment,Does the mustard seed still make people go to church before you feed them
facebook,Comment,Are you kidding me?
facebook,Comment,Shared on Thriftstore Galore 💛🌟💛🌟💛
facebook,Comment,"Tell Danielle ""Miss Trump Lite"" Smith to quit spending our money on trips to suck up to the fascists and spend it at home where it is needed."
facebook,Comment,So true.
facebook,Comment,"My friend couldn’t , he lost everything and ended his life . In Ontario"
facebook,Comment,"Yes, that the conservatives made one mistake. They should've really dealt with the Trump issue, and not just on all of the above in people's minds. That's all that mattered, ultimately their pocketbook, they have short vision. It's too bad He didn't emphasize what he was going to do in regard to Trump. It might have changed the outcome. None, the less my trust is in God and not in government. And if you belong to him, you don't need to be afraid of the future. He's got you covered and he can still bless you. In spite of the government, if you look in your bibles, he always did his greatest blessings were in time when the Economies were the worst, so don't lose heart to keep your eyes on him. Jesus is always the answer and always will be. He's saying yesterday today and forever"
facebook,Comment,a Jason Nixon family scam
facebook,Comment,"We love what you’re doing here. You’re His Hands and Feet. 🙏♥️

Thank you"
facebook,Comment,"Not really true. Everyone degrades you and you lose even more of all of you. I’ve lost my home, car family and friends. No one really knows me. Even though I’ve gained material wealth back, I’ve never found myself."
facebook,Comment,feeling awesome😇
facebook,Comment,Seems the ad saying”you can still find yourself” is hopeless! Is not Samaritans Purse supposed to be a Christian org so saying “you can find God” would be most appropriate
facebook,Comment,How much does  the CEO get from donations?
facebook,Comment,I am beyond healing period .
facebook,Comment,truth
facebook,Comment,God hears you calling! He is someone!
facebook,Comment,"Thank you Salomea for your service! 
I volunteered last week and had the pleasure of meeting so many amazing volunteers like you. I learned while I was there that The Mustard Seed will not exist without the help of volunteers! #themustardseed #donationsmakeadifference #giveback #volunteer"
facebook,Comment,"I am so grateful to have a grand son, who is so full of love, thoughtful, caring, kind and patient. No grand father could ask for a finer grand son, I will be forever grateful for him. His name starts with an A which stand for A 1."
facebook,Comment,Shane Isley
facebook,Comment,"We love her energy and how she helps our residents relax.

Thank you!"
facebook,Comment,What an Angel you are Amber !
facebook,Comment,Sad but true. Aint that a fact?
facebook,Comment,How do I contact a person for labour?
facebook,Comment,Such a pleasure to partner with Megan and Debra from Cattleman’s Jerky! I might have had a sample or two….so good!
facebook,Comment,Bless you guys! 😍🥰🙏
facebook,Comment,Been there for a month.  This place is a Godsend!  Saved us from living in our cars.    Staff are amazing as so many of them go above and beyond to be helpful and supportive.  It's been great to get to know them.  We have made handful of friends that we will treasure long term.  We no longer worry about where our food and shelter is going to come from.  Eventually we'll be in a place of her own but in the meantime we're very thankful for this place
facebook,Comment,"It’s okay to shout it out loud when you need help.  It may take a lot of strength and courage, but never let your ego and pride silence your pain.  👊❤️"
facebook,Comment,Right on
facebook,Comment,God Blees All The Staff And Volunteers Of The Mustard Seed
facebook,Comment,Served foid at Nystrad Seed church a ciuole times
facebook,Comment,Mustard Seed
facebook,Comment,"Larry Neufeld 
Nothing would make me Happier Larry 
I will show you dt Edmonton 
Bring your camera 
Record Take Pictures
Post on Your  social media, what you see 
Is all that I ask 
The Mustard Seed
 Edmonton Will start our tour here 
Rural Folk Need to see what I see"
facebook,Comment,I'd rather watch the hobo population triple than support stupid Christians
facebook,Comment,I would donate thousands of Izzy dolls for all those children!!!!!!!
facebook,Comment,"Yes, I want to help them with donation.                                                                                                Also, raise this truth: money that belonged to Canadians, especially the homeless and sick people went to Ukraine. WHY did Trudeau demand money that belonged to Canadians suffering, go to Ukraine?  RAISE  THIS  ISSUE  PUBLICLY."
facebook,Comment,Blacks are government subsidized and have a higher standard of living than the natives. We are funding our own demographic replacement. Wake up!!! Nice try with DEI though.
facebook,Comment,You are very welcome 🙂
facebook,Comment,"It hurts my Heart to think of the humans past, present and future that just inhabit shit lives to no fault of their own. What Body you land in, really is just luck. 
And believe me, Her wounds are Visible.
This is the look of having Human Violence done on to you. 
Violence Shatters Joy which Shapes the Spirt which Shapes the Mind which Shapes the Body. Wounds are Worn. 
 1% have created a system in which humans have to pay their worth in exchange for the comforts of living on this Planet. 
We are born on to this Planet to simply experience it, to advance it, to eat it and shit it out, to return to molecules and create something again and again..... Not to make 1% live very cushy, extravagant, greedy, violent, wasteful  lives that rely on our Spirts and Minds and Bodies."
facebook,Comment,Could they be referred to RPJ Mental Health Academy?
facebook,Comment,Fuck off you have siphoned enough money out of Alberta tax payers and your faith based sober only bullshit isn't helping many people. Fuck the Nixon family. Shoot any pregnant horses lately asshole.
facebook,Comment,"Not sure who to ask but, do they still need hangers?"
facebook,Comment,I would donate thousands of Izzy dolls for those children!!!!
facebook,Comment,"How come your cults don't have the integrity to read an ingredient list on your vaccines???
T.y for poisoning yourselves, we cannot allow that stupidity around children in the future.
Burned crops is all u can have from me or mine"
facebook,Comment,"How come your cults don't have the integrity to read an ingredient list on your vaccines???
T.y for poisoning yourselves, we cannot allow that stupidity around children in the future.
Burned crops is all u can have from me or mine"
facebook,Comment,"How come your cults don't have the integrity to read an ingredient list on your vaccines???
T.y for poisoning yourselves, we cannot allow that stupidity around children in the future.
Burned crops is all u can have from me or mine"
facebook,Comment,"Burned crops is all your cults can have from me or mine. Period, non negotiable. We cannot allow your kind of stupidity around children in the future period"
facebook,Comment,"Your uneducated cults have done more damage lying to people than it's worth allowing you to continue. Burned crops and applications to die are the only things your cults can have from me or mine.
Nothing on God's green earth is worth tolerating you as neighbour's"
facebook,Comment,Thank you for your support 💛
facebook,Comment,The Mustard Seed
facebook,Comment,What a great way for the guys to get together! Celebrate community..!!! 🥰🧡🙌✨
facebook,Comment,💛💛💛
facebook,Comment,"Great job by the Mustard Seed  Calgary team ! 
Well done ."
facebook,Comment,I would donate money if the money went to a bus ticket for homeless junkies to BC. Being kind to criminals is being cruel to normal people.
facebook,Comment,Amen
facebook,Comment,Do you receive any funding from the provincial government for your services?
facebook,Comment,But his wounds are obvious.  Give him support and vitamins.
facebook,Comment,"Hi, I have been calling to try and set up donating a mattress however the phone line never goes through and just hangs up. Is there anyone who can contact me about the process?"
facebook,Comment,😍😍😍😘😘😘
facebook,Comment,🙌🙌🙌👏👏👏
facebook,Comment,"It’s always inspiring to see our community come together with such heart and purpose. We’re proud to partner with incredible organizations like Jasper Place Wellness Centre and Kids Kottage, whose frontline work creates real change for those experiencing homelessness in Edmonton."
facebook,Comment,Rylen
facebook,Comment,🧡🧡🧡🧡🧡
facebook,Comment,Where do i find the financial starements to see where your donations go?
facebook,Comment,I donate once a year in December
facebook,Comment,"Everyone is a product of their environment . If one can leave that environment an get the right help for what is troubling them , they can heal,  an start fresh for a more meaningful lifestyle … 
Once a person knows better by exploring why they feel the way they feel , they can do better  , understanding why , when, where , who , an how  things went sideways , 
Possibly,  even a vitamin deficiency is lacking an proper food intake, poor life choices…
 with the right guidance , one can find what is hurting or lacking in ones body an mind ,that is  missing to make them feel “whole “ again … you can heal… sometimes you have to leave a environment , for your health, , for your mental survival,  for your wellbeing …
For a proper human intervention, for a better understanding , for your growth , an to be curious again for your inner child , within you …
thank -you , for the Mustard seed for all that you do… 
And for ones who need help , keep trying, keep hoping , do not become discouraged, keep seeking, and don’t give up , sometimes things take time too fall into place…"
facebook,Comment,Simply wonderful 🙏👏😍
facebook,Comment,And the Mustard Seed is incredible for this. Thank you guys.
facebook,Comment,"The wounds that are generated by childhood religious teaching can be very deep and very disabling. Don't teach your children about places of eternal torture which don't exist, teach them about reality, nature, science and do it with love."
facebook,Comment,Their best healing is waiting for them back home.
facebook,Comment,"🔍 *Looking to Hire? Let RapidCareer Make It Easier!*  
📢 Calling all recruiters in the *USA, UK, and Canada* — simplify your hiring with *RapidCareer*!

✅ Post *Unlimited Jobs* till *Dec 31, 2025* for just *$40*  
✅ Chat directly with applicants on our platform  
✅ Get instant access to *applicant video introductions*  
✅ Enjoy a smart, user-friendly dashboard  
✅ Receive *real-time email alerts* for new applications  
✅ Subscription *refund guarantee* if you don’t hire within 3 months*

🚀 Whether you're a small business, a growing brand, or hiring for multiple roles, RapidCareer is here to connect you with the right talent — fast and affordably.

💼 Start hiring smarter today!  
🌐 Visit: [www.rapidcareer.co](http://www.rapidcareer.co)

📣 Know someone hiring? Tag or share this with them and help us build careers together!

#RapidCareer #Recruiting #HiringSimplified #PostJobsOnline #USAJobs #UKJobs #CanadaJobs #RecruitmentPlatform🔍 *Looking to Hire? Let RapidCareer Make It Easier!*  
📢 Calling all recruiters in the *USA, UK, and Canada* — simplify your hiring with *RapidCareer*!

✅ Post *Unlimited Jobs* till *Dec 31, 2025* for just *$40*  
✅ Chat directly with applicants on our platform  
✅ Get instant access to *applicant video introductions*  
✅ Enjoy a smart, user-friendly dashboard  
✅ Receive *real-time email alerts* for new applications  
✅ Subscription *refund guarantee* if you don’t hire within 3 months*

🚀 Whether you're a small business, a growing brand, or hiring for multiple roles, RapidCareer is here to connect you with the right talent — fast and affordably.

💼 Start hiring smarter today!  
🌐 Visit: [www.rapidcareer.co](http://www.rapidcareer.co)

📣 Know someone hiring? Tag or share this with them and help us build careers together!

#RapidCareer #Recruiting #HiringSimplified #PostJobsOnline #USAJobs #UKJobs #CanadaJobs #RecruitmentPlatform"
facebook,Comment,can you handle someone with a chronic illness diet .
facebook,Comment,June is Men’s mental health month so everyone knows seeing as how the alphabet mafia stole it and acts like the victims
facebook,Comment,"Did you know in certain hasidic and orthodox traditions of Judaisim the word vaccines has a numerical value of 666.
It's a huge reason 100s of millions of people r getting ready to make sure your cults can't go near our fucking children"
facebook,Comment,The mustard seed is a horrible place they are racist and treat people like shit
facebook,Comment,Lol drug users don't deserve any help they choose to do it not forced plus they commit crimes making everything more expensive
facebook,Comment,"Addictions and mental health in Edmonton  
I work in dt Edmonton in the zone 
Easy walking distance to all agencies, Shelters, Missions.
I see bad things every night when I am at work 
200 meters from Edmonton's The Mustard Seed
I see real-time 

#abpoli #ableg #ucp"
facebook,Comment,"Our Mission
To build hope and well-being for our most vulnerable citizens through Jesus’ love.

Our Values
Christ-Centredness
Transparent Accountability
Treating All With Respect
Open Communication
Holistic Innovation"
facebook,Comment,"That's actually the time you Do find yourself.
🩷"
facebook,Comment,"As a Christian organization how do you help people whose mental health has been negatively impacted by the Christian religion, doctrine or community?"
facebook,Comment,Love this!
facebook,Comment,Our library is impressive.
facebook,Comment,I support mental health but not if you are forced to sign up for a religion you may not believe in and this is how the mustard seed works for both clients and employees. They will not help if you don't succumb to their beliefs and I have seen firsthand that as an employee you will not advance within the company unless you sign into their faith.  That's not for me
facebook,Comment,"This is so amazing!
Yet another reason why robust funding of public services is essential!"
facebook,Comment,Better yet let Jesus find you..
facebook,Comment,Do they still have to wear masks?????
facebook,Comment,Why would we join a pro-Israel country that supports slaughtering Palestinians?
facebook,Comment,Ya well my brother died right outside of Hope Mission just after Christmas in the freezing cold. Why wasn’t he inside? Aholes who claim to run a Christian facility have treated me like crap and refuse to provide answers. What are they hiding???????
facebook,Comment,Yes!
facebook,Comment,"I have donated to the Mustard  Seed  for approx 28 years   They are amazing organization.   They don’t just feed people , they teach them how to get their lives back.   👏👏👏💕"
facebook,Comment,"Absolutely ....because there are world wide populations that have it much, much more hardship than yourself."
facebook,Comment,"till they shut the resource one down in your city removing your councelling and resources, food, laundry services, hygeine/ toiletries, clothing, social workers, mail services (for the unhoused) and the harm reduction supplies and narcan (helpful for even non users you never know accidental exposure happens) bus pass/ bus tickets if you REALLY need it, and a place to come and not be alone and options to do games and other activities. the mustard seed does much more than just a homeless shelter. they are there for low income induviduals and familes and many people forget its not just homeless adicts even though they need and deserve the support as well. they gave people access to housing outreach right there at least once a week, they had access to medical for those who do have issues accesing it especially without feeling judged.  ever tried to go to the hospital and even sometimes doctors as homeless or god forbid a homeless ADDICT? they don't get treated very well or taken seriously, i heard a dr at the hospital tell this dude he needed to stay for a week but once they seen he was homeless they made him leave right then and there with minimal care. why did they remove the MS in my city ? because the neighborhood was complaining about having to see them. even though it was there before most of them even moved here ... who see's that and decides they absoltely HAVE to move beside it and open a daycare knowing about the drug use? and then demands and whines and protests that they move or shut down a seriously needed reasource.. and as for the drug use in the neighborhood.. they dont have a home or shed to go use in.. they tried to be respectful of the children too and when aske to move they always respected that, and the crime. Yes there was crime but just like... lock ur shed dont keep your expensive toys and stuff outside, unprotected. i highly dobt they were stealing as a personal attack.. that's something that a person does when they are desperate and need help/support and are having issues. AND this neighborhood is litterally known for being not the best ANYWAYS."
facebook,Comment,Yes
facebook,Comment,Yes this is so amazing because now all these confused people that have been trying to get their mail because you guys were withholding their crucial and personal mail for the past 2-3 months to get their life back or to get a place or food after the run around you gave them.... so now all those people that could have been housed two or three months ago that HAD to stay on the streets because of your shenanigans can get their mail and now they can get housed.... yes all praise a corporate system that makes money off the vulnerable and has a BUILDING filled with offices like a Harry potter movie.....
facebook,Comment,"Not affilated with meta but affiliated with the UCP minister of Social Services whose family owns this scam and recieves more generous funding from the UCP government than any other shelter.
Now you can imagine how a minister can profit from the suffering of the people on the street."
facebook,Comment,Edmonton is a drug infected city all these bums do is steal from stores or people's property then sell it to there dealer for drugs these bums don't deserve help
facebook,Comment,It was incredible!!
facebook,Comment,They have helped FAR more than those who feel offended by their beliefs.
facebook,Comment,Not easily!
facebook,Comment,🙏💕😇
facebook,Comment,The Mustard Seed????
facebook,Comment,I’m available for talk with experienced ce.
facebook,Comment,Good for you.
facebook,Comment,"Never give up even if you lose everything , it only makes room for everything that’s meant to be in your life to be welcomed"
facebook,Comment,"Cindy Lee Yes, Pat Nixon founded it. His son, Jason Nixon, is a current UCP MLA. Jason announced UCP funding for it in 2023. That's an obvious conflict of interest."
facebook,Comment,So true
facebook,Comment,"The God within us all , shows us the way .
🙏💕😇 🎉"
facebook,Comment,And flashlights
facebook,Comment,nahhhh everyone’s dying of the FAMINE. Go drink some more fake booze. You’re not making this out alive.
facebook,Comment,Madison Moyle
facebook,Comment,The Calgary program comes up for volunteers (?)
facebook,Comment,What’s the ages allowed
facebook,Comment,"Suffering on the streets with NO washroom facilities, no running water. Nowhere to charge your phone to hear if you have a doctors appointment, or from loved ones , no food no clothing, & in pain…… sometimes I think no wonder people turn to drugs to numb the suffering,  sadly.
Thank heavens for places like the mustard seed."
facebook,Comment,following. What age can volunteer?
facebook,Comment,"Except the government itself is perpetrating a fraud which could direct an entire country in any direction; and it's been so since forever. But nuclear they'll discover fusion, buy fusion they'll pick nuclear. I'd appreciate the clown show keeping a healthy distance of about 10000 miles."
facebook,Comment,https://www.facebook.com/changealberta/posts/the-nixon-brothers-and-the-ucps-embrace-of-their-dads-mustard-seed-creationin-th/3191316377619925/
facebook,Comment,"Yes... being at the bottom emotionally, mentally, socially & financially, respectfully, is an excellent opportunity to find... not only you BUT CHRIST WHO IS REACHING OUT TO YOU. Life In Christ Re-shifts us into the reality in this short life. Purpose is realized & gifts we have & has a real place to exercise. Been at the bottom for a long time, then. WHAT GOD OFFERS EVERY HEART HUMBLY CRYING OUT TO HIM IS BEYOND UNDERSTANDING... BUT... WHEN SALVATION MEETS A HEART... THERE'S A WHOLE DIFFERENT WAY OF SEEING OTHER'S & LIFE. FAITH... it only takes Faith... to believe & reach out. It's that simple."
facebook,Comment,Love our inner city fam.👍🏽❤️🙏😂
facebook,Comment,Interested in ages allowed to volunteer as well.
facebook,Comment,And you can also find God.
facebook,Comment,Tried to fill in a volunteer profile but it doesn't seem to be working when I click continue. I will try again later on a computer instead of my phone
facebook,Comment,Darby Duncan Carla Comeau Duncan  Any interest?
facebook,Comment,This link directs us to Calgary.
facebook,Comment,That's so thoughtful!!
facebook,Comment,I would donate thousands of Izzy dolls for those children!!!!!!
facebook,Comment,Is there an age restriction to volunteer?
facebook,Comment,Here is the link for the Izzy dolls!!!
facebook,Comment,
facebook,Comment,Where is the seed in gp? I’ve only found warpath house that won’t give you food unless you’re a member but they are always full up.
facebook,Comment,Yea Janet ! 🥰
facebook,Comment,Have you asked any of the guests to volunteer?
facebook,Comment,come to Prince Albert Saskatchewan
facebook,Comment,"Mike, 
You and your family are true inspiration."
facebook,Comment,Could someone bring their little kids (3 and under) with them?
facebook,Comment,Yeah!!! This is incredible!!! 🎉🌅💕
facebook,Comment,Yay!!!!   They love new black socks
facebook,Comment,Suppers are Mondays Wednesdays and fridays
facebook,Comment,They did this for us at The Mustard Seed in Red Deer too! Incredible company!!
facebook,Comment,What a blessing ❤️
facebook,Comment,If it is showing another city you can scroll to the bottom and it will have a place that ask pick your location with a drop down menu.
facebook,Comment,Amazing!
facebook,Comment,
facebook,Comment,Loved working along side Dave!
facebook,Comment,The guests at the Calgary The Mustard Seed  LOVE LOVE Irish Spring soap best of all the soaps we receive as donations.   I'm just seeing soap sack for the first time today and I'm so happy I stumbled on your page.  🧼🧼🧼
facebook,Comment,"WOW
This is incredible 🥹🥹 xo"
facebook,Comment,Thanks for making a difference in our community Dave!
facebook,Comment,WOW What an amazing show of support and care ❤️
facebook,Comment,"Fantastic, great work everyone!"
facebook,Comment,Can we get these made for all staff?
facebook,Comment,"That’s awesome Connor, thanks so much 🙏🏻"
facebook,Comment,Such an amazing way to give back from a youngster! Kudos to you Connor
facebook,Comment,theseed.ca/heatalert
facebook,Comment,Please help if you are able.
facebook,Comment,Please Help Find the Parents of this Child !!!    https://www.facebook.com/share/p/16hPo1xJ1Q/?mibextid=wwXIfr
facebook,Comment,Here is that banana bread recipe!!!!
facebook,Comment,What an awesome piece and nothing short of the truth! It's amazing getting to work alongside and learn from Dianne! 🥰🙏🙌
facebook,Comment,Oh my heart 💖 what an amazing soul
facebook,Comment,The world needs more Connors. Your making a difference Connor
facebook,Comment,I think I bought his lemonade across from the little ice cream shoppe! Way to go Connor
facebook,Comment,"Dianne’s awesome. Always smiling, even when I used to walk by and mess up her desk. 😉"
facebook,Comment,k that actually looks like her.
facebook,Comment,Thank you Camille!
facebook,Comment,Love
facebook,Comment,come to Prince Albert Saskatchewan we have a new mayor
facebook,Comment,Why not Calgary? Yes Grand Prairie needs housing but Calgary does too.
facebook,Comment,This is incredible 💗
facebook,Comment,This is wonderful!
facebook,Comment,❤️ how wonderful
facebook,Comment,only 1200 mo
facebook,Comment,Jaxon Massey
facebook,Comment,Excellent news!  We need more of this.
facebook,Comment,where is the bathroom?
facebook,Comment,bathroom?
facebook,Comment,Would you like some books?
facebook,Comment,"Since these were originally motel rooms, they should have full washrooms."
facebook,Comment,Love this! ❤️
facebook,Comment,No stove?
facebook,Comment,The Mustard Seed
facebook,Comment,How do I apply?
facebook,Comment,This is truly awesome guys. Thank you.
facebook,Comment,All the illegal immigrants will get it not a single white person will be appovered
facebook,Comment,"We need soooo much more of this, love it, that's awesome"
facebook,Comment,Looks great :)
facebook,Comment,"Loud Cheer for all,thanks!"
facebook,Comment,They used to be hotel rooms so each has their own bathroom. It’s on the wall behind the kitchenette l.
facebook,Comment,Where is donations drop off?
facebook,Comment,"This is great , let's just hope they can keep a handle on things and not let it turn into the chaos that most of these hotels across the country has turned into . Even here in NFLD there's a couple of those hotels and well. It's turned into chaos and from what I see not just here it's happening everywhere . Thankfully the seed has other programs that could help stere away from the chaos most of these hotel programs for housing do not have the resources being put in . Good on you Mustard Seed 💜"
facebook,Comment,This is very needed & the suites look lovely - well done !!👍👍👍
facebook,Comment,"Hi Camillie, i wanna be volunteer in community. Please guide me"
facebook,Comment,Fantastic!!
facebook,Comment,"City of Red Deer. Give you any ideas? You know, really helping people."
facebook,Comment,❤️
facebook,Comment,Amazing!!!
facebook,Comment,This is so great👍
facebook,Comment,Wow that's great... How long before they are destroyed by druggies!
facebook,Comment,How do u apply? There’s nothing on the site indicating how to do so
facebook,Comment,This is scary
facebook,Comment,
facebook,Comment,"That’s awesome! Is it a clean dry apartment living? 
We need so many of these set ups!"
facebook,Comment,Love it! I dream of doing this in my community too
facebook,Comment,Medicine hat The Mustard Seed needs this same accommodation.
facebook,Comment,Access to safe housing is incredibly important! So glad to see this.
facebook,Comment,Thank you for all you do!! ❤️
facebook,Comment,Red Deer needs this really bad .
facebook,Comment,Well done Grande Prairie❤️
facebook,Comment,Thank you for all you do for The Mustard Seed!!
facebook,Comment,Super great
facebook,Comment,Thank you for all that you do to support individuals experiencing homelessness or housing instability. 💛
facebook,Comment,Edmonton needs this
facebook,Comment,I’m looking for a place to live I’m 61 medical reasons I’ll be probably on welfare for while an wandering if you’re programs deal with them for rent an income supplement
facebook,Comment,I would love to
facebook,Comment,My kids 10 and 11 are looking for volunteer opportunities. Is there anything for them there?
facebook,Comment,Do you have any affordable housing cause im gonna be homeless soon
facebook,Comment,I’m trying to phone to find information an can’t on eany of your posting in grande prairie
facebook,Comment,"That’s amazing! Thanks so much,"
facebook,Comment,❤️❤️❤️❤️❤️❤️❤️❤️💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧💧
facebook,Comment,"Wow, that’s so amazing!! Thank you to The Hideout Eats & Beats, Red Deer, AB.!!"
facebook,Comment,Fantastic!!!
facebook,Comment,What size sandals?
facebook,Comment,such a generous act of kindness - thank you!
facebook,Comment,"Great job Guys .
Allan ! You are very generous.
God bless you."
facebook,Comment,Thank You Mustard Seed for letting me Stay there for 3months before I flew back to be HOMELESS in the UK
facebook,Comment,"Such a great guy, always volunteer focused ensuring a positive experience for all!"
facebook,Comment,Well done Major's Family Restaurant 👏🏼👏🏼👏🏼 Great outreach and community spirit 💓
facebook,Comment,Awesome
facebook,Comment,Awesome Jonathan!!!
facebook,Comment,Thank you WMS!  Amazing generosity!
facebook,Comment,So awesome!! Thank you WMS!!
facebook,Comment,Way to go Westpark Middle School! What a generous gift 💗
facebook,Comment,Those students rock!
facebook,Comment,This is so heartwarming to see! 🌟 Huge applause to the amazing students and staff at West Park Middle School for stepping up in such a big way. Your compassion brings hope and comfort to so many in need. 💛
facebook,Comment,Awesome 👏
facebook,Comment,"Hey. Isnt it nice tracjk if you will saybthe thrjth that mustard seed are those center for all people.qho had been convicted and out recovery they are house to deal with there fibnvil, empntoonal, socul, pschological nd family intervention on lutheran way we arr living now nd specillly those in emorional unstability ,, first start up is to wnlighten them and thw public as well coz i got victimized by your program and james spaddy and hope mission shelter #unhrc
#humanrights
.where is humanity 
#fundings coming from the well abled country  remember 16 million $"
facebook,Comment,"Charity and Golf are oxymoronic, but get that bank guys, get every cent outta them 🤣 sending ggod vibes"
facebook,Comment,This is so great! Thank you WMS.
facebook,Comment,👑
facebook,Comment,Great job the Mustard seed team .
facebook,Comment,Ok
facebook,Comment,"Why are you providing breakfast and lunch for free at schools?, do parents just make babies and expect the government to raise them, buy a condom or food"
facebook,Comment,We’re so proud to be part of something that truly matters. 💛
facebook,Comment,"As a teacher, I see first hand that children benefit from breakfast, snacks, and lunch provided by organizations such as The Mustard Seed."
facebook,Comment,I donate directly to my great-grandchildren!
facebook,Comment,👑
facebook,Comment,Thanks for your service and leadership at the Seed in Red Deer.
facebook,Comment,"YES .....absolutely.  No questions asked; our children's safety is paramount.  BUT as the abundance of world wide countries atrocities continue....we, us Cdn tax dollars, and more significantly our Cdn Govt.....is our children in Canada are top priority.  Again, the obvious is ...our children in Canada warrant 110% support."
facebook,Comment,Right on
facebook,Comment,and daughters
facebook,Comment,Great Job Laura and the mustard seed team in Red deer . This is amazing
facebook,Comment,Perfect video Laura!! ❤️
facebook,Comment,✌🏻🇨🇦🥳
facebook,Comment,Just wondering what programs you have in red deer for children.The only program I know of in red deer is feeding homeless. Just curious
facebook,Comment,Why was my question taken off
facebook,Comment,Thank you for your support!
facebook,Comment,by giving to ukraine !
facebook,Comment,Good signal of the state of reality Canada currently is in. Alberta secession is the only answer.
facebook,Comment,We have the space to foster 2 kids. Lots of love to give.
facebook,Comment,"https://www.facebook.com/share/p/1BePJaweow/
Canada day with the homeless"
facebook,Comment,"https://www.facebook.com/share/p/1BePJaweow/
Canada day with the homeless"
facebook,Comment,Greqt a.nd interesting
facebook,Comment,Hello! How do we learn more about helping with this??
facebook,Comment,"Hanah Marie Nguyen Rose 06 17 93 of Edmonton Alberta Canada, has started and is presently running a Red alert gang of her own .

   She is initiating her male members by making them eat your 3 to 6 month old fetus's . A satanic group of thugs , speed in fentanyl injectors she uses on the streets .!    !

     If she becomes popular , this will spread to Calgary Winnipeg Vancouver soon Toronto ....

    The mustard seed has been supporting this girl and her drug problem for 10 years !   !      ! I hold it fully responsible for her , The mustard seed has made this monster !   !     ! 

    Once the underground homeless become cannibals , this country will be known for that and that only ,  thanks to the mustard seed !

    Left third eye Epic style ."
facebook,Comment,Holy cow the guy in the middle looks like me LOL He must be cool
facebook,Comment,Very cool Grande Prairie
facebook,Comment,And theres my twin.
facebook,Comment,Thank you so much!
facebook,Comment,"Hey Danielle Smith Showing up for a photo op at The Mustard Seed while your policies defund affordable housing, oppose harm reduction, and stigmatize vulnerable people is peak hypocrisy. If you truly supported their mission, you'd stop actively working against it."
facebook,Comment,Lezlie used to make cookies every month for the mustard seed.
facebook,Comment,Great 👍 job Trudi 👏 it was great working with you and I am truly grateful what you thought me ❤️
facebook,Comment,Loved chatting with her at the market last Saturday. The Mustard Seed does incredible things 🙏♥️
facebook,Comment,🙏💕
facebook,Comment,I would Like to thank The Mustard Seed for my stay there during 2023 for just over 3 Months. I would not be here now if it was not for this!!!
facebook,Comment,We appreciate your support for the School Lunch Program and look forward to working with you in September!
facebook,Comment,Machiavellian
facebook,Comment,"It feels so good to load those boxes, knowing they're going where they are needed most.  Thank you <3"
facebook,Comment,YAHOO
facebook,Comment,Just made a donation to the Red Deer version of The Mustard Seed!
facebook,Comment,Way to go arc!!
facebook,Comment,That’s awesome!!
facebook,Comment,Amazing!! ⭐️
facebook,Comment,Then why did edmonton just spend 7.5 million on a hockey player
facebook,Comment,Amazing 🔥
facebook,Comment,So crazy from the basement of First B to Grande Prairie. Never woulda guessed it
facebook,Comment,Sooo good!!!!
facebook,Comment,Love this!! 💛
facebook,Comment,Praise the Lord! Thank you ARC Resources Ltd.❤️🙏
facebook,Comment,Awesome!
facebook,Comment,Those children would not go hungry if Liberal government would not send any money to Ukraine. Admit it.
facebook,Comment,Awesome...we can help more homeless people not from here.
facebook,Comment,Rather see them hire and train the homeless rather than make them helpless. Watch your children parents!
facebook,Comment,Congrats Matthew👏👏👏
facebook,Comment,That's awesome
facebook,Comment,Context? Was this at Stampede?
facebook,Comment,Awe 🤗 hugs are the very best
facebook,Comment,That’s awesome Dani going to see the schools. 👍👏Let them know and be a part of what’s going on in the world.🌎 we are all in it together 💗
facebook,Comment,Nice but what about access to these programs for disabled is there any programs ?
facebook,Comment,Make your own paint pallette!!!!
facebook,Comment,I love the choice of paint colors !
facebook,Comment,That’s amazing
facebook,Comment,"Well done, but... when are you going to talk publicly about sending money to ukraine and not giving that to Canadians, especially children and homeless people? Why are you afraid to talk about it?"
facebook,Comment,That’s amazing
facebook,Comment,
facebook,Comment,
facebook,Comment,
facebook,Comment,Thanks to the Bama crew for this very useful item !
facebook,Comment,Amazing Bama Furniture ❤️❤️
facebook,Comment,Thank you for such a great contribution!
facebook,Comment,How nice!!
facebook,Comment,❤️
facebook,Comment,I am interested but for now my available time is Sunday iam working at restaurant but I’m willing to help after I settle my schedule I will add more days
facebook,Comment,"That's amazing,I"
facebook,Comment,I support them too.
facebook,Comment,
facebook,Comment,Awesome
facebook,Comment,Yah right how much money actually get to the kids ??? why is anyone in Canada  in Poverty ?? Cesti que V trust!  Research it!
facebook,Comment,Great work H&W. 👏
facebook,Comment,That's outstanding. Great work ARC
facebook,Comment,
facebook,Comment,Awesome   Way to go ppl ❤️🙏‼️
facebook,Comment,
